time_hours,node_id,node_label,activation
0.0,mem::familiar_face,familiar_face,0.3986
0.0,event::quiet_reading,quiet reading,0.3802
0.0,mem::flying,flying,0.3793
0.0,mem::being_chased,being_chased,0.3768
0.0,mem::joy,joy,0.3647
0.0,mem::dread,dread,0.3574
0.0,mem::loud_crowd,loud_crowd,0.3563
0.0,mem::wonder,wonder,0.3451
0.0,event::deep_relaxation,deep relaxation,0.3441
0.0,mem::childhood_home,childhood_home,0.3337
0.0,mem::recurring_journey,recurring_journey,0.287
0.0,mem::bright_light,bright_light,0.2684
0.083333,mem::childhood_home,childhood_home,0.9802
0.083333,mem::being_chased,being_chased,0.9802
0.083333,mem::loud_crowd,loud_crowd,0.9802
0.083333,mem::dread,dread,0.9802
0.083333,event::deep_relaxation,deep relaxation,0.9802
0.083333,mem::cold_water,cold_water,0.9567
0.083333,mem::falling,falling,0.9143
0.083333,mem::grief,grief,0.8859
0.083333,mem::school_corridor,school_corridor,0.8705
0.083333,mem::being_late,being_late,0.87
0.083333,mem::teeth_loosening,teeth_loosening,0.8623
0.083333,mem::familiar_face,familiar_face,0.667
0.166667,mem::childhood_home,childhood_home,0.9934
0.166667,mem::school_corridor,school_corridor,0.9934
0.166667,mem::falling,falling,0.9934
0.166667,mem::being_chased,being_chased,0.9934
0.166667,mem::being_late,being_late,0.9934
0.166667,mem::teeth_loosening,teeth_loosening,0.9934
0.166667,mem::cold_water,cold_water,0.9934
0.166667,mem::loud_crowd,loud_crowd,0.9934
0.166667,mem::grief,grief,0.9934
0.166667,mem::dread,dread,0.9934
0.166667,event::deep_relaxation,deep relaxation,0.9934
0.166667,mem::familiar_face,familiar_face,0.9133
0.25,mem::familiar_face,familiar_face,1.0
0.25,mem::flying,flying,1.0
0.25,mem::bright_light,bright_light,1.0
0.25,mem::joy,joy,1.0
0.25,mem::wonder,wonder,1.0
0.25,event::quiet_reading,quiet reading,1.0
0.25,mem::childhood_home,childhood_home,0.9802
0.25,mem::school_corridor,school_corridor,0.9802
0.25,mem::falling,falling,0.9802
0.25,mem::being_chased,being_chased,0.9802
0.25,mem::being_late,being_late,0.9802
0.25,mem::teeth_loosening,teeth_loosening,0.9802
0.333333,mem::familiar_face,familiar_face,1.0
0.333333,mem::flying,flying,1.0
0.333333,mem::bright_light,bright_light,1.0
0.333333,mem::joy,joy,1.0
0.333333,mem::wonder,wonder,1.0
0.333333,event::quiet_reading,quiet reading,1.0
0.333333,mem::childhood_home,childhood_home,0.9672
0.333333,mem::school_corridor,school_corridor,0.9672
0.333333,mem::falling,falling,0.9672
0.333333,mem::being_chased,being_chased,0.9672
0.333333,mem::being_late,being_late,0.9672
0.333333,mem::teeth_loosening,teeth_loosening,0.9672
0.416667,mem::familiar_face,familiar_face,0.9934
0.416667,mem::flying,flying,0.9934
0.416667,mem::bright_light,bright_light,0.9934
0.416667,mem::joy,joy,0.9934
0.416667,mem::wonder,wonder,0.9934
0.416667,event::quiet_reading,quiet reading,0.9934
0.416667,mem::childhood_home,childhood_home,0.9868
0.416667,mem::school_corridor,school_corridor,0.9868
0.416667,mem::falling,falling,0.9868
0.416667,mem::being_chased,being_chased,0.9868
0.416667,mem::being_late,being_late,0.9868
0.416667,mem::teeth_loosening,teeth_loosening,0.9868
0.5,mem::familiar_face,familiar_face,0.9802
0.5,mem::flying,flying,0.9802
0.5,mem::bright_light,bright_light,0.9802
0.5,mem::joy,joy,0.9802
0.5,mem::wonder,wonder,0.9802
0.5,event::quiet_reading,quiet reading,0.9802
0.5,mem::childhood_home,childhood_home,0.9418
0.5,mem::school_corridor,school_corridor,0.9418
0.5,mem::falling,falling,0.9418
0.5,mem::being_chased,being_chased,0.9418
0.5,mem::being_late,being_late,0.9418
0.5,mem::teeth_loosening,teeth_loosening,0.9418
0.583333,mem::childhood_home,childhood_home,0.9481
0.583333,mem::school_corridor,school_corridor,0.9481
0.583333,mem::falling,falling,0.9481
0.583333,mem::being_chased,being_chased,0.9481
0.583333,mem::being_late,being_late,0.9481
0.583333,mem::teeth_loosening,teeth_loosening,0.9481
0.583333,mem::cold_water,cold_water,0.9481
0.583333,mem::loud_crowd,loud_crowd,0.9481
0.583333,mem::grief,grief,0.9481
0.583333,mem::dread,dread,0.9481
0.583333,event::deep_relaxation,deep relaxation,0.9481
0.583333,mem::familiar_face,familiar_face,0.917
0.666667,mem::childhood_home,childhood_home,0.9934
0.666667,mem::school_corridor,school_corridor,0.9934
0.666667,mem::falling,falling,0.9934
0.666667,mem::being_chased,being_chased,0.9934
0.666667,mem::being_late,being_late,0.9934
0.666667,mem::teeth_loosening,teeth_loosening,0.9934
0.666667,mem::cold_water,cold_water,0.9934
0.666667,mem::loud_crowd,loud_crowd,0.9934
0.666667,mem::grief,grief,0.9934
0.666667,mem::dread,dread,0.9934
0.666667,event::deep_relaxation,deep relaxation,0.9934
0.666667,mem::familiar_face,familiar_face,0.9672
0.75,mem::familiar_face,familiar_face,0.9868
0.75,mem::flying,flying,0.9868
0.75,mem::bright_light,bright_light,0.9868
0.75,mem::joy,joy,0.9868
0.75,mem::wonder,wonder,0.9868
0.75,event::quiet_reading,quiet reading,0.9868
0.75,mem::childhood_home,childhood_home,0.9802
0.75,mem::school_corridor,school_corridor,0.9802
0.75,mem::falling,falling,0.9802
0.75,mem::being_chased,being_chased,0.9802
0.75,mem::being_late,being_late,0.9802
0.75,mem::teeth_loosening,teeth_loosening,0.9802
0.833333,mem::childhood_home,childhood_home,1.0
0.833333,mem::school_corridor,school_corridor,1.0
0.833333,mem::falling,falling,1.0
