time_hours,node_id,node_label,activation
0.0,mem::familiar_face,familiar_face,0.528
0.0,mem::wonder,wonder,0.4529
0.0,mem::bright_light,bright_light,0.4473
0.0,mem::joy,joy,0.3852
0.0,mem::recurring_journey,recurring_journey,0.318
0.0,mem::school_corridor,school_corridor,0.3053
0.0,mem::loud_crowd,loud_crowd,0.2965
0.0,mem::flying,flying,0.2906
0.0,mem::childhood_home,childhood_home,0.2846
0.0,mem::dread,dread,0.215
0.0,mem::being_late,being_late,0.2092
0.0,event::had_a_long_meeting,had a long meeting,0.209
0.083333,mem::familiar_face,familiar_face,0.9868
0.083333,mem::flying,flying,0.9868
0.083333,mem::bright_light,bright_light,0.9868
0.083333,mem::joy,joy,0.9868
0.083333,mem::wonder,wonder,0.9868
0.083333,mem::recurring_journey,recurring_journey,0.2975
0.083333,mem::school_corridor,school_corridor,0.2857
0.083333,mem::loud_crowd,loud_crowd,0.2773
0.083333,mem::childhood_home,childhood_home,0.2662
0.083333,mem::dread,dread,0.2011
0.083333,mem::being_late,being_late,0.1957
0.083333,event::had_a_long_meeting,had a long meeting,0.1955
0.166667,mem::familiar_face,familiar_face,0.9737
0.166667,mem::flying,flying,0.9737
0.166667,mem::bright_light,bright_light,0.9737
0.166667,mem::joy,joy,0.9737
0.166667,mem::wonder,wonder,0.9737
0.166667,mem::school_corridor,school_corridor,0.4173
0.166667,mem::loud_crowd,loud_crowd,0.4095
0.166667,mem::childhood_home,childhood_home,0.399
0.166667,mem::dread,dread,0.3381
0.166667,mem::being_late,being_late,0.3331
0.166667,event::had_a_long_meeting,had a long meeting,0.3329
0.166667,mem::grief,grief,0.3022
0.25,mem::familiar_face,familiar_face,0.9934
0.25,mem::flying,flying,0.9934
0.25,mem::bright_light,bright_light,0.9934
0.25,mem::joy,joy,0.9934
0.25,mem::wonder,wonder,0.9934
0.25,mem::school_corridor,school_corridor,0.5315
0.25,mem::loud_crowd,loud_crowd,0.5243
0.25,mem::childhood_home,childhood_home,0.5145
0.25,mem::dread,dread,0.4576
0.25,mem::being_late,being_late,0.4529
0.25,event::had_a_long_meeting,had a long meeting,0.4527
0.25,mem::grief,grief,0.4239
0.333333,mem::familiar_face,familiar_face,0.9868
0.333333,mem::flying,flying,0.9868
0.333333,mem::bright_light,bright_light,0.9868
0.333333,mem::joy,joy,0.9868
0.333333,mem::wonder,wonder,0.9868
0.333333,mem::school_corridor,school_corridor,0.6414
0.333333,mem::loud_crowd,loud_crowd,0.6346
0.333333,mem::childhood_home,childhood_home,0.6254
0.333333,mem::dread,dread,0.5722
0.333333,mem::being_late,being_late,0.5679
0.333333,event::had_a_long_meeting,had a long meeting,0.5677
0.333333,mem::grief,grief,0.5407
0.416667,mem::familiar_face,familiar_face,0.9737
0.416667,mem::flying,flying,0.9737
0.416667,mem::bright_light,bright_light,0.9737
0.416667,mem::joy,joy,0.9737
0.416667,mem::wonder,wonder,0.9737
0.416667,mem::school_corridor,school_corridor,0.7442
0.416667,mem::loud_crowd,loud_crowd,0.7378
0.416667,mem::childhood_home,childhood_home,0.7292
0.416667,mem::dread,dread,0.6794
0.416667,mem::being_late,being_late,0.6755
0.416667,event::had_a_long_meeting,had a long meeting,0.6753
0.416667,mem::grief,grief,0.65
0.5,mem::childhood_home,childhood_home,0.9934
0.5,mem::school_corridor,school_corridor,0.9934
0.5,mem::falling,falling,0.9934
0.5,mem::being_chased,being_chased,0.9934
0.5,mem::being_late,being_late,0.9934
0.5,mem::teeth_loosening,teeth_loosening,0.9934
0.5,mem::cold_water,cold_water,0.9934
0.5,mem::loud_crowd,loud_crowd,0.9934
0.5,mem::grief,grief,0.9934
0.5,mem::dread,dread,0.9934
0.5,event::had_a_long_meeting,had a long meeting,0.9934
0.5,mem::familiar_face,familiar_face,0.9737
0.583333,mem::childhood_home,childhood_home,1.0
0.583333,mem::school_corridor,school_corridor,1.0
0.583333,mem::falling,falling,1.0
0.583333,mem::being_chased,being_chased,1.0
0.583333,mem::being_late,being_late,1.0
0.583333,mem::teeth_loosening,teeth_loosening,1.0
0.583333,mem::cold_water,cold_water,1.0
0.583333,mem::loud_crowd,loud_crowd,1.0
0.583333,mem::grief,grief,1.0
0.583333,mem::dread,dread,1.0
0.583333,event::had_a_long_meeting,had a long meeting,1.0
0.583333,mem::familiar_face,familiar_face,0.9109
0.666667,mem::childhood_home,childhood_home,0.9868
0.666667,mem::school_corridor,school_corridor,0.9868
0.666667,mem::falling,falling,0.9868
0.666667,mem::being_chased,being_chased,0.9868
0.666667,mem::being_late,being_late,0.9868
0.666667,mem::teeth_loosening,teeth_loosening,0.9868
0.666667,mem::cold_water,cold_water,0.9868
0.666667,mem::loud_crowd,loud_crowd,0.9868
0.666667,mem::grief,grief,0.9868
0.666667,mem::dread,dread,0.9868
0.666667,event::had_a_long_meeting,had a long meeting,0.9868
0.666667,mem::familiar_face,familiar_face,0.9544
0.75,mem::childhood_home,childhood_home,1.0
0.75,mem::school_corridor,school_corridor,1.0
0.75,mem::falling,falling,1.0
0.75,mem::being_chased,being_chased,1.0
0.75,mem::being_late,being_late,1.0
0.75,mem::teeth_loosening,teeth_loosening,1.0
0.75,mem::cold_water,cold_water,1.0
0.75,mem::loud_crowd,loud_crowd,1.0
0.75,mem::grief,grief,1.0
0.75,mem::dread,dread,1.0
0.75,event::had_a_long_meeting,had a long meeting,1.0
0.75,mem::familiar_face,familiar_face,0.9868
0.833333,mem::familiar_face,familiar_face,0.9934
0.833333,mem::flying,flying,0.9934
0.833333,mem::bright_light,bright_light,0.9934
0.833333,mem::joy,joy,0.9934
0.833333,mem::wonder,wonder,0.9934
0.833333,mem::childhood_home,childhood_home,0.9737
0.833333,mem::school_corridor,school_corridor,0.9737
0.833333,mem::falling,falling,0.9737
0.833333,mem::being_chased,being_chased,0.9737
0.833333,mem::being_late,being_late,0.9737
0.833333,mem::teeth_loosening,teeth_loosening,0.9737
0.833333,mem::cold_water,cold_water,0.9737
0.916667,mem::familiar_face,familiar_face,1.0
0.916667,mem::flying,flying,1.0
0.916667,mem::bright_light,bright_light,1.0
0.916667,mem::joy,joy,1.0
0.916667,mem::wonder,wonder,1.0
0.916667,mem::childhood_home,childhood_home,0.9672
0.916667,mem::school_corridor,school_corridor,0.9672
0.916667,mem::falling,falling,0.9672
0.916667,mem::being_chased,being_chased,0.9672
0.916667,mem::being_late,being_late,0.9672
0.916667,mem::teeth_loosening,teeth_loosening,0.9672
0.916667,mem::cold_water,cold_water,0.9672
