time_hours,node_id,node_label,activation
0.0,mem::teeth_loosening,teeth_loosening,0.3205
0.0,mem::dread,dread,0.3034
0.0,mem::flying,flying,0.3024
0.0,mem::familiar_face,familiar_face,0.2744
0.0,mem::being_late,being_late,0.2528
0.0,event::had_a_long_meeting,had a long meeting,0.2495
0.0,mem::being_chased,being_chased,0.2265
0.0,mem::recurring_journey,recurring_journey,0.2183
0.0,mem::loud_crowd,loud_crowd,0.2077
0.0,mem::grief,grief,0.1609
0.0,mem::falling,falling,0.1421
0.0,mem::joy,joy,0.1419
0.083333,mem::flying,flying,0.7153
0.083333,mem::familiar_face,familiar_face,0.6892
0.083333,mem::joy,joy,0.5652
0.083333,mem::bright_light,bright_light,0.5392
0.083333,mem::wonder,wonder,0.534
0.083333,mem::teeth_loosening,teeth_loosening,0.4449
0.083333,mem::dread,dread,0.4289
0.083333,mem::being_late,being_late,0.3815
0.083333,event::had_a_long_meeting,had a long meeting,0.3786
0.083333,mem::being_chased,being_chased,0.3569
0.083333,mem::loud_crowd,loud_crowd,0.3393
0.083333,mem::grief,grief,0.2956
0.166667,mem::flying,flying,0.9642
0.166667,mem::familiar_face,familiar_face,0.9398
0.166667,mem::joy,joy,0.8238
0.166667,mem::bright_light,bright_light,0.7995
0.166667,mem::wonder,wonder,0.7947
0.166667,mem::teeth_loosening,teeth_loosening,0.5622
0.166667,mem::dread,dread,0.5472
0.166667,mem::being_late,being_late,0.5029
0.166667,event::had_a_long_meeting,had a long meeting,0.5003
0.166667,mem::being_chased,being_chased,0.4799
0.166667,mem::loud_crowd,loud_crowd,0.4635
0.166667,mem::grief,grief,0.4226
0.25,mem::familiar_face,familiar_face,0.9608
0.25,mem::flying,flying,0.9608
0.25,mem::bright_light,bright_light,0.9608
0.25,mem::joy,joy,0.9608
0.25,mem::wonder,wonder,0.9608
0.25,mem::teeth_loosening,teeth_loosening,0.8171
0.25,mem::dread,dread,0.8031
0.25,mem::being_late,being_late,0.7616
0.25,event::had_a_long_meeting,had a long meeting,0.7592
0.25,mem::being_chased,being_chased,0.74
0.25,mem::loud_crowd,loud_crowd,0.7248
0.25,mem::grief,grief,0.6864
0.333333,mem::familiar_face,familiar_face,0.9934
0.333333,mem::flying,flying,0.9934
0.333333,mem::bright_light,bright_light,0.9934
0.333333,mem::joy,joy,0.9934
0.333333,mem::wonder,wonder,0.9934
0.333333,mem::childhood_home,childhood_home,0.9868
0.333333,mem::school_corridor,school_corridor,0.9868
0.333333,mem::falling,falling,0.9868
0.333333,mem::being_chased,being_chased,0.9868
0.333333,mem::being_late,being_late,0.9868
0.333333,mem::teeth_loosening,teeth_loosening,0.9868
0.333333,mem::cold_water,cold_water,0.9868
0.416667,mem::childhood_home,childhood_home,1.0
0.416667,mem::school_corridor,school_corridor,1.0
0.416667,mem::falling,falling,1.0
0.416667,mem::being_chased,being_chased,1.0
0.416667,mem::being_late,being_late,1.0
0.416667,mem::teeth_loosening,teeth_loosening,1.0
0.416667,mem::cold_water,cold_water,1.0
0.416667,mem::loud_crowd,loud_crowd,1.0
0.416667,mem::grief,grief,1.0
0.416667,mem::dread,dread,1.0
0.416667,event::had_a_long_meeting,had a long meeting,1.0
0.416667,mem::familiar_face,familiar_face,0.9868
0.5,mem::familiar_face,familiar_face,1.0
0.5,mem::flying,flying,1.0
0.5,mem::bright_light,bright_light,1.0
0.5,mem::joy,joy,1.0
0.5,mem::wonder,wonder,1.0
0.5,mem::childhood_home,childhood_home,0.9355
0.5,mem::school_corridor,school_corridor,0.9355
0.5,mem::falling,falling,0.9355
0.5,mem::being_chased,being_chased,0.9355
0.5,mem::being_late,being_late,0.9355
0.5,mem::teeth_loosening,teeth_loosening,0.9355
0.5,mem::cold_water,cold_water,0.9355
0.583333,mem::familiar_face,familiar_face,1.0
0.583333,mem::flying,flying,1.0
0.583333,mem::bright_light,bright_light,1.0
0.583333,mem::joy,joy,1.0
0.583333,mem::wonder,wonder,1.0
0.583333,mem::childhood_home,childhood_home,0.9672
0.583333,mem::school_corridor,school_corridor,0.9672
0.583333,mem::falling,falling,0.9672
0.583333,mem::being_chased,being_chased,0.9672
0.583333,mem::being_late,being_late,0.9672
0.583333,mem::teeth_loosening,teeth_loosening,0.9672
0.583333,mem::cold_water,cold_water,0.9672
0.666667,mem::childhood_home,childhood_home,1.0
0.666667,mem::school_corridor,school_corridor,1.0
0.666667,mem::falling,falling,1.0
0.666667,mem::being_chased,being_chased,1.0
0.666667,mem::being_late,being_late,1.0
0.666667,mem::teeth_loosening,teeth_loosening,1.0
0.666667,mem::cold_water,cold_water,1.0
0.666667,mem::loud_crowd,loud_crowd,1.0
0.666667,mem::grief,grief,1.0
0.666667,mem::dread,dread,1.0
