time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.4338
0.0,mem::being_late,being_late,0.425
0.0,mem::teeth_loosening,teeth_loosening,0.4052
0.0,mem::school_corridor,school_corridor,0.3983
0.0,mem::flying,flying,0.3857
0.0,mem::wonder,wonder,0.3833
0.0,mem::joy,joy,0.3742
0.0,mem::loud_crowd,loud_crowd,0.3703
0.0,mem::childhood_home,childhood_home,0.3694
0.0,mem::falling,falling,0.3123
0.0,mem::familiar_face,familiar_face,0.3114
0.0,mem::dread,dread,0.3036
0.083333,event::had_a_long_meeting,had a long meeting,0.4625
0.083333,mem::being_late,being_late,0.4567
0.083333,mem::teeth_loosening,teeth_loosening,0.4404
0.083333,mem::school_corridor,school_corridor,0.4348
0.083333,mem::flying,flying,0.423
0.083333,mem::wonder,wonder,0.421
0.083333,mem::joy,joy,0.4133
0.083333,mem::loud_crowd,loud_crowd,0.4116
0.083333,mem::childhood_home,childhood_home,0.4109
0.083333,mem::falling,falling,0.3639
0.083333,mem::familiar_face,familiar_face,0.3617
0.083333,mem::dread,dread,0.3567
0.166667,event::had_a_long_meeting,had a long meeting,0.5782
0.166667,mem::flying,flying,0.5531
0.166667,mem::wonder,wonder,0.5518
0.166667,mem::joy,joy,0.547
0.166667,mem::familiar_face,familiar_face,0.5141
0.166667,mem::bright_light,bright_light,0.4916
0.166667,mem::being_late,being_late,0.48
0.166667,mem::teeth_loosening,teeth_loosening,0.4666
0.166667,mem::school_corridor,school_corridor,0.4619
0.166667,mem::loud_crowd,loud_crowd,0.4428
0.166667,mem::childhood_home,childhood_home,0.4422
0.166667,mem::falling,falling,0.4036
0.25,event::had_a_long_meeting,had a long meeting,0.6531
0.25,mem::flying,flying,0.6369
0.25,mem::wonder,wonder,0.6361
0.25,mem::joy,joy,0.6332
0.25,mem::familiar_face,familiar_face,0.6122
0.25,mem::bright_light,bright_light,0.5978
0.25,mem::being_late,being_late,0.5056
0.25,mem::teeth_loosening,teeth_loosening,0.4945
0.25,mem::school_corridor,school_corridor,0.4907
0.25,mem::loud_crowd,loud_crowd,0.475
0.25,mem::childhood_home,childhood_home,0.4745
0.25,mem::falling,falling,0.4427
0.333333,event::had_a_long_meeting,had a long meeting,0.6707
0.333333,mem::flying,flying,0.6589
0.333333,mem::wonder,wonder,0.6583
0.333333,mem::joy,joy,0.6562
0.333333,mem::familiar_face,familiar_face,0.641
0.333333,mem::bright_light,bright_light,0.6306
0.333333,mem::being_late,being_late,0.6094
0.333333,mem::teeth_loosening,teeth_loosening,0.6024
0.333333,mem::school_corridor,school_corridor,0.6
0.333333,mem::loud_crowd,loud_crowd,0.59
0.333333,mem::childhood_home,childhood_home,0.5897
0.333333,mem::falling,falling,0.5694
0.416667,event::had_a_long_meeting,had a long meeting,0.731
0.416667,mem::flying,flying,0.7244
0.416667,mem::wonder,wonder,0.724
0.416667,mem::joy,joy,0.7229
0.416667,mem::familiar_face,familiar_face,0.7144
0.416667,mem::bright_light,bright_light,0.7084
0.416667,mem::being_late,being_late,0.6751
0.416667,mem::teeth_loosening,teeth_loosening,0.6705
0.416667,mem::school_corridor,school_corridor,0.6691
0.416667,mem::loud_crowd,loud_crowd,0.6627
0.416667,mem::childhood_home,childhood_home,0.6624
0.416667,mem::falling,falling,0.6495
0.5,mem::being_late,being_late,0.7347
0.5,mem::teeth_loosening,teeth_loosening,0.732
0.5,mem::school_corridor,school_corridor,0.7313
0.5,mem::loud_crowd,loud_crowd,0.7277
0.5,mem::childhood_home,childhood_home,0.7275
0.5,mem::falling,falling,0.7203
0.5,mem::dread,dread,0.719
0.5,mem::grief,grief,0.7176
0.5,mem::being_chased,being_chased,0.7137
0.5,event::had_a_long_meeting,had a long meeting,0.7121
0.5,mem::cold_water,cold_water,0.7078
0.5,mem::flying,flying,0.7068
0.583333,mem::being_late,being_late,0.7732
0.583333,mem::teeth_loosening,teeth_loosening,0.7716
0.583333,mem::school_corridor,school_corridor,0.7712
0.583333,mem::loud_crowd,loud_crowd,0.7695
0.583333,mem::childhood_home,childhood_home,0.7693
0.583333,mem::falling,falling,0.7652
0.583333,mem::dread,dread,0.7645
0.583333,mem::grief,grief,0.7637
0.583333,mem::being_chased,being_chased,0.7614
0.583333,mem::cold_water,cold_water,0.7581
0.583333,event::had_a_long_meeting,had a long meeting,0.7163
0.583333,mem::flying,flying,0.7124
0.666667,event::had_a_long_meeting,had a long meeting,0.8071
0.666667,mem::flying,flying,0.8057
0.666667,mem::wonder,wonder,0.8056
0.666667,mem::joy,joy,0.8053
0.666667,mem::familiar_face,familiar_face,0.8033
0.666667,mem::bright_light,bright_light,0.802
0.666667,mem::being_late,being_late,0.7427
0.666667,mem::teeth_loosening,teeth_loosening,0.7412
0.666667,mem::school_corridor,school_corridor,0.7409
0.666667,mem::loud_crowd,loud_crowd,0.7397
0.666667,mem::childhood_home,childhood_home,0.7395
0.666667,mem::falling,falling,0.7359
0.75,event::had_a_long_meeting,had a long meeting,0.7982
0.75,mem::flying,flying,0.7972
0.75,mem::wonder,wonder,0.7972
0.75,mem::joy,joy,0.797
0.75,mem::familiar_face,familiar_face,0.7957
0.75,mem::bright_light,bright_light,0.795
0.75,mem::being_late,being_late,0.739
0.75,mem::teeth_loosening,teeth_loosening,0.7378
0.75,mem::school_corridor,school_corridor,0.7376
0.75,mem::loud_crowd,loud_crowd,0.7368
0.75,mem::childhood_home,childhood_home,0.7367
0.75,mem::falling,falling,0.734
0.833333,event::had_a_long_meeting,had a long meeting,0.806
0.833333,mem::flying,flying,0.8054
0.833333,mem::wonder,wonder,0.8054
0.833333,mem::joy,joy,0.8053
0.833333,mem::familiar_face,familiar_face,0.8045
0.833333,mem::bright_light,bright_light,0.8042
0.833333,mem::being_late,being_late,0.713
0.833333,mem::teeth_loosening,teeth_loosening,0.7119
0.833333,mem::school_corridor,school_corridor,0.7118
0.833333,mem::loud_crowd,loud_crowd,0.7111
0.833333,mem::childhood_home,childhood_home,0.711
0.833333,mem::falling,falling,0.709
0.916667,event::had_a_long_meeting,had a long meeting,0.7683
0.916667,mem::flying,flying,0.7677
0.916667,mem::wonder,wonder,0.7677
0.916667,mem::joy,joy,0.7676
0.916667,mem::familiar_face,familiar_face,0.767
0.916667,mem::bright_light,bright_light,0.7668
0.916667,mem::being_late,being_late,0.7561
0.916667,mem::school_corridor,school_corridor,0.7555
0.916667,mem::teeth_loosening,teeth_loosening,0.7555
0.916667,mem::loud_crowd,loud_crowd,0.7551
0.916667,mem::childhood_home,childhood_home,0.755
0.916667,mem::falling,falling,0.754
