time_hours,node_id,node_label,activation
0.0,mem::cold_water,cold_water,0.5399
0.0,mem::childhood_home,childhood_home,0.5158
0.0,mem::dread,dread,0.5138
0.0,mem::falling,falling,0.5087
0.0,mem::being_late,being_late,0.4313
0.0,event::quiet_reading,quiet reading,0.4246
0.0,mem::joy,joy,0.3962
0.0,mem::school_corridor,school_corridor,0.3629
0.0,mem::loud_crowd,loud_crowd,0.3177
0.0,mem::grief,grief,0.3113
0.0,event::deep_relaxation,deep relaxation,0.3045
0.0,mem::teeth_loosening,teeth_loosening,0.2888
0.083333,mem::cold_water,cold_water,0.7934
0.083333,mem::childhood_home,childhood_home,0.7708
0.083333,mem::dread,dread,0.769
0.083333,mem::falling,falling,0.7642
0.083333,mem::being_late,being_late,0.6918
0.083333,mem::school_corridor,school_corridor,0.6278
0.083333,mem::loud_crowd,loud_crowd,0.5855
0.083333,mem::grief,grief,0.5794
0.083333,mem::teeth_loosening,teeth_loosening,0.5585
0.083333,event::quiet_reading,quiet reading,0.5394
0.083333,mem::being_chased,being_chased,0.536
0.083333,mem::joy,joy,0.5129
0.166667,mem::childhood_home,childhood_home,0.9868
0.166667,mem::school_corridor,school_corridor,0.9868
0.166667,mem::falling,falling,0.9868
0.166667,mem::being_chased,being_chased,0.9868
0.166667,mem::being_late,being_late,0.9868
0.166667,mem::teeth_loosening,teeth_loosening,0.9868
0.166667,mem::cold_water,cold_water,0.9868
0.166667,mem::loud_crowd,loud_crowd,0.9868
0.166667,mem::grief,grief,0.9868
0.166667,mem::dread,dread,0.9868
0.166667,event::quiet_reading,quiet reading,0.7957
0.166667,mem::joy,joy,0.7709
0.25,mem::joy,joy,1.0
0.25,event::quiet_reading,quiet reading,1.0
0.25,mem::childhood_home,childhood_home,0.9802
0.25,mem::school_corridor,school_corridor,0.9802
0.25,mem::falling,falling,0.9802
0.25,mem::being_chased,being_chased,0.9802
0.25,mem::being_late,being_late,0.9802
0.25,mem::teeth_loosening,teeth_loosening,0.9802
0.25,mem::cold_water,cold_water,0.9802
0.25,mem::loud_crowd,loud_crowd,0.9802
0.25,mem::grief,grief,0.9802
0.25,mem::dread,dread,0.9802
0.333333,mem::childhood_home,childhood_home,0.9868
0.333333,mem::school_corridor,school_corridor,0.9868
0.333333,mem::falling,falling,0.9868
0.333333,mem::being_chased,being_chased,0.9868
0.333333,mem::being_late,being_late,0.9868
0.333333,mem::teeth_loosening,teeth_loosening,0.9868
0.333333,mem::cold_water,cold_water,0.9868
0.333333,mem::loud_crowd,loud_crowd,0.9868
0.333333,mem::grief,grief,0.9868
0.333333,mem::dread,dread,0.9868
0.333333,mem::flying,flying,0.9802
0.333333,mem::joy,joy,0.9802
0.416667,mem::childhood_home,childhood_home,0.9934
0.416667,mem::school_corridor,school_corridor,0.9934
0.416667,mem::falling,falling,0.9934
0.416667,mem::being_chased,being_chased,0.9934
0.416667,mem::being_late,being_late,0.9934
0.416667,mem::teeth_loosening,teeth_loosening,0.9934
0.416667,mem::cold_water,cold_water,0.9934
0.416667,mem::loud_crowd,loud_crowd,0.9934
0.416667,mem::grief,grief,0.9934
0.416667,mem::dread,dread,0.9934
0.416667,mem::familiar_face,familiar_face,0.9868
0.416667,mem::flying,flying,0.9868
0.5,mem::childhood_home,childhood_home,0.9802
0.5,mem::school_corridor,school_corridor,0.9802
0.5,mem::falling,falling,0.9802
0.5,mem::being_chased,being_chased,0.9802
0.5,mem::being_late,being_late,0.9802
0.5,mem::teeth_loosening,teeth_loosening,0.9802
0.5,mem::cold_water,cold_water,0.9802
0.5,mem::loud_crowd,loud_crowd,0.9802
0.5,mem::grief,grief,0.9802
0.5,mem::dread,dread,0.9802
0.5,mem::familiar_face,familiar_face,0.9672
0.5,mem::flying,flying,0.9672
0.583333,mem::familiar_face,familiar_face,0.9934
0.583333,mem::flying,flying,0.9934
0.583333,mem::bright_light,bright_light,0.9934
0.583333,mem::joy,joy,0.9934
0.583333,mem::wonder,wonder,0.9934
0.583333,event::quiet_reading,quiet reading,0.9934
0.583333,event::deep_relaxation,deep relaxation,0.9934
0.583333,mem::childhood_home,childhood_home,0.9737
0.583333,mem::school_corridor,school_corridor,0.9737
0.583333,mem::falling,falling,0.9737
0.583333,mem::being_chased,being_chased,0.9737
0.583333,mem::being_late,being_late,0.9737
0.666667,mem::familiar_face,familiar_face,1.0
0.666667,mem::flying,flying,1.0
0.666667,mem::bright_light,bright_light,1.0
0.666667,mem::joy,joy,1.0
0.666667,mem::wonder,wonder,1.0
0.666667,event::quiet_reading,quiet reading,1.0
0.666667,event::deep_relaxation,deep relaxation,1.0
0.666667,mem::childhood_home,childhood_home,0.9868
0.666667,mem::school_corridor,school_corridor,0.9868
0.666667,mem::falling,falling,0.9868
0.666667,mem::being_chased,being_chased,0.9868
0.666667,mem::being_late,being_late,0.9868
0.75,mem::familiar_face,familiar_face,0.9672
0.75,mem::flying,flying,0.9672
0.75,mem::bright_light,bright_light,0.9672
0.75,mem::joy,joy,0.9672
0.75,mem::wonder,wonder,0.9672
0.75,event::quiet_reading,quiet reading,0.9672
0.75,event::deep_relaxation,deep relaxation,0.9672
0.75,mem::childhood_home,childhood_home,0.9231
0.75,mem::school_corridor,school_corridor,0.9231
0.75,mem::falling,falling,0.9231
0.75,mem::being_chased,being_chased,0.9231
0.75,mem::being_late,being_late,0.9231
0.833333,mem::familiar_face,familiar_face,1.0
0.833333,mem::flying,flying,1.0
0.833333,mem::bright_light,bright_light,1.0
0.833333,mem::joy,joy,1.0
0.833333,mem::wonder,wonder,1.0
0.833333,event::quiet_reading,quiet reading,1.0
0.833333,event::deep_relaxation,deep relaxation,1.0
0.833333,mem::childhood_home,childhood_home,0.9934
0.833333,mem::school_corridor,school_corridor,0.9934
0.833333,mem::falling,falling,0.9934
0.833333,mem::being_chased,being_chased,0.9934
0.833333,mem::being_late,being_late,0.9934
0.916667,mem::familiar_face,familiar_face,1.0
0.916667,mem::flying,flying,1.0
0.916667,mem::bright_light,bright_light,1.0
0.916667,mem::joy,joy,1.0
0.916667,mem::wonder,wonder,1.0
0.916667,event::quiet_reading,quiet reading,1.0
0.916667,event::deep_relaxation,deep relaxation,1.0
0.916667,mem::childhood_home,childhood_home,0.9868
0.916667,mem::school_corridor,school_corridor,0.9868
0.916667,mem::falling,falling,0.9868
